T1,T2,T3,T4
0.992508352,0.427679957,0.464850759,0.97137338
0.252652347,0.668035421,0.70057049,0.464313964
0.581052482,0.429135124,0.880927455,0.912129108
0.148799598,0.370221212,0.771567581,0.925265416
0.596261203,0.968842401,0.969459246,0.105837572
0.091871202,0.125862439,0.060141929,0.547721628
0.95366329,0.542656767,0.080253323,0.961582891
0.538631618,0.369268164,0.103267452,0.647706323
0.613993108,0.375068445,0.662852562,0.356685232
0.376933515,0.139480253,0.096318789,0.87448032
0.224765718,0.060631448,0.403845652,0.167200398
0.786382139,0.761849576,0.930805549,0.614201168
0.799612224,0.879217146,0.787374066,0.044167654
0.063094556,0.018595457,0.649966452,0.790226133
0.104869068,0.875646167,0.843163493,0.075451113
0.221131504,0.296063599,0.161479702,0.769823912
0.597773492,0.962424348,0.789164007,0.23801527
0.977984369,0.061914339,0.681762073,0.768127793
0.625234544,0.865982259,0.129558538,0.960184605
0.232178628,0.614476423,0.885565951,0.321507774
0.252882898,0.353656375,0.306397407,0.221637528
0.291640937,0.808901046,0.014674155,0.464448503
0.630253255,0.510029203,0.735122306,0.811662013
0.35026592,0.055788391,0.822245427,0.106960998
0.222428977,0.789855989,0.777471329,0.522789737
0.411907613,0.670187251,0.611718957,0.24250882
0.338114917,0.531146655,0.774813547,0.075603135
0.308018625,0.886126975,0.783325014,0.032822839
0.884257019,0.317006505,0.086952828,0.892680445
0.767894208,0.843378516,0.545330511,0.093460958
0.279443443,0.626439019,0.208430475,0.19743064
0.215897501,0.247803457,0.267691454,0.36878217
0.338616312,0.681199533,0.661366684,0.351099629
0.63227433,0.32753238,0.078943429,0.728655487
0.80519408,0.618685671,0.403269007,0.646795569
0.866287172,0.570040668,0.039932448,0.417502866
0.021144807,0.429643515,0.570042053,0.053853908
0.9070279,0.712819545,0.509314699,0.646404331
0.411531627,0.060009679,0.042737815,0.694456973
0.248762071,0.82719177,0.630532206,0.512630431
0.389591873,0.715373221,0.773683711,0.080372144
0.031128109,0.402965905,0.868684394,0.327999202
0.759248197,0.243998207,0.210131599,0.208625889
0.364038646,0.938530006,0.27561124,0.002902549
0.785321653,0.800236325,0.673535153,0.678350879
0.920211971,0.031815029,0.501301269,0.98384562
0.04466933,0.825866041,0.629676922,0.100672736
0.78612107,0.557113075,0.427525039,0.51577404
0.81346339,0.728372911,0.650976608,0.195276791
0.738617599,0.309777876,0.261752862,0.601787636
0.543308437,0.270047653,0.617323416,0.227788674
0.341440856,0.513516584,0.371202029,0.249921229
0.050176322,0.00935203,0.094958404,0.460754065
0.513304651,0.032670725,0.04809159,0.614242982
0.798159063,0.31071179,0.491038441,0.828474167
0.181260765,0.248304489,0.298728664,0.939316324
0.169232547,0.736699649,0.942677146,0.088868065
0.451977432,0.052461583,0.193229552,0.126020452
0.881374061,0.91634221,0.341208832,0.851499435
0.42522186,0.71933281,0.210834921,0.214965346
0.384314239,0.481972811,0.199987453,0.511217021
0.477505147,0.406924223,0.614968168,0.381320987
0.761970937,0.325986448,0.722249341,0.449084732
0.733064592,0.427543417,0.909620212,0.180013389
0.741502225,0.378917459,0.579161824,0.798489169
0.813581884,0.503564631,0.286782346,0.623366131
0.829294384,0.766384706,0.291733219,0.079859582
0.974157035,0.941114732,0.364596525,0.209411558
0.847084939,0.658552694,0.568639976,0.029085589
0.812252939,0.650013789,0.944301594,0.136769335
0.267950237,0.249708195,0.063776023,0.745254474
0.256140649,0.551772518,0.045687377,0.807184763
0.119062126,0.404640723,0.786969522,0.511739821
0.488145053,0.702480756,0.533705572,0.203484915
0.024374902,0.597653228,0.614864559,0.443151685
0.111231267,0.727455965,0.778890817,0.779687622
0.918445528,0.649605152,0.131415761,0.031094204
0.370017946,0.41936026,0.920708866,0.861306189
0.020783603,0.188987953,0.401440801,0.453987605
0.823885381,0.045576747,0.597522807,0.923803394
0.696435153,0.526134319,0.857438394,0.786736143
0.567467153,0.948661957,0.65747486,0.744677901
0.560175121,0.707731568,0.877142122,0.990155741
0.72994107,0.158487316,0.174703413,0.362296369
0.783378303,0.030611434,0.276920776,0.230401777
0.971699417,0.4229817,0.000906083,0.222881806
0.441107213,0.028120205,0.178382779,0.138088511
0.591071784,0.929615335,0.788959799,0.219910975
0.162504137,0.476120084,0.286239939,0.246770734
0.248610198,0.059913711,0.957675066,0.675709842
0.082876623,0.015765219,0.494515644,0.709836494
0.307603776,0.223869663,0.643097906,0.266972722
0.663167417,0.193080249,0.291972444,0.038514722
0.573109329,0.856696972,0.400675416,0.24502759
0.21142453,0.821824739,0.718569632,0.740151657
0.344260633,0.210714511,0.915515957,0.256871789
0.018381059,0.727029942,0.907188,0.227447693
0.556060731,0.014513109,0.674337306,0.484605207
0.730036438,0.055888716,0.658142922,0.932006702
0.703679979,0.22701853,0.263404205,0.48255739
0.666348875,0.055519339,0.059219855,0.803854684
0.552739322,0.227949963,0.792263589,0.594554017
0.419833839,0.272743948,0.165916016,0.535720669
0.239381254,0.906468286,0.787652753,0.409583869
0.344886005,0.146010147,0.080354929,0.661269073
0.656314313,0.292940887,0.796752326,0.306708636
0.35179466,0.098035636,0.53874142,0.417927225
0.314962804,0.456143611,0.669514976,0.632965126
0.802582204,0.671351604,0.354137567,0.760078789
0.885647476,0.11282912,0.089358305,0.292503794
0.413574636,0.943024241,0.979508505,0.466293066
0.819032371,0.749462464,0.019262407,0.548338043
0.407669246,0.204755747,0.178952972,0.536157186
0.863693893,0.2828882,0.356227503,0.079948596
0.16083473,0.642205606,0.822689323,0.066257761
0.713341415,0.859516035,0.168584858,0.522576632
0.923038661,0.552395962,0.01125928,0.22989594
0.261459291,0.437120695,0.718050052,0.976237509
0.656806886,0.999736248,0.98713183,0.440933419
0.183986843,0.724206738,0.906985808,0.498001905
0.086236656,0.851800798,0.662281107,0.128473383
0.800027549,0.478030382,0.804694404,0.029519615
0.637481153,0.248020451,0.217353017,0.155854143
0.619170368,0.593614858,0.098268024,0.778680119
0.72849673,0.969758618,0.813888321,0.15356026
0.082440317,0.159009534,0.895576853,0.231498329
0.219603717,0.099963399,0.440459895,0.873576475
0.596899211,0.647057263,0.942548426,0.17085264
0.070393503,0.023628974,0.031271599,0.843816018
0.286574543,0.716061196,0.117694834,0.37151895
0.789351404,0.668024718,0.024648558,0.498100207
0.314601362,0.235830547,0.013629227,0.42388905
0.804312408,0.616824176,0.973179674,0.059212285
0.600732744,0.666641097,0.54662176,0.139975924
0.088679492,0.096485661,0.585966705,0.178470681
0.612101495,0.357411473,0.293891755,0.274973179
0.754395187,0.900121472,0.546603146,0.866440876
0.050988615,0.357209094,0.334403577,0.451871628
0.124094427,0.60386953,0.35755718,0.312970441
0.91072768,0.703493204,0.100827867,0.023275242
0.00433296,0.169528427,0.794292837,0.449020739
0.627750337,0.024306433,0.058886548,0.52758572
0.188571155,0.209739823,0.952136922,0.679480146
0.961443603,0.268636818,0.700138759,0.28092798
0.600361049,0.278042001,0.124275537,0.313405922
0.268971622,0.216941597,0.272752053,0.861015768
0.197538793,0.186282488,0.316510941,0.140914378
0.058727682,0.493439289,0.477645709,0.537780112
0.750578105,0.928393834,0.881161846,0.046332134
0.500124872,0.884112752,0.090357986,0.980769547
0.190035522,0.789833048,0.971612506,0.913948471
0.629354179,0.624955084,0.316406475,0.657912183
0.848393381,0.163005905,0.341496912,0.26380598
0.442466915,0.358952624,0.946023688,0.584546059
0.959220827,0.616698678,0.091149218,0.726512259
0.310922086,0.563539364,0.033818558,0.314156763
0.553209722,0.922900678,0.894335203,0.297619019
0.451654375,0.941104595,0.221089497,0.930372516
0.205452621,0.030298928,0.520447197,0.448722599
0.08494252,0.745793914,0.025389566,0.672496831
0.371178567,0.432411224,0.83660292,0.278957768
0.102132022,0.329024458,0.865744778,0.087303917
0.319652498,0.070007959,0.495453052,0.425827134
0.471468866,0.129404925,0.8178483,0.983853006
0.415052593,0.091482995,0.779739105,0.782664436
0.493033826,0.621010464,0.225453142,0.990621387
0.686195552,0.491971927,0.156765076,0.327162194
0.216521919,0.343771712,0.415806815,0.414685208
0.557690561,0.94302179,0.275082292,0.551362115
0.957626522,0.305167586,0.096073968,0.42937093
0.607902229,0.867307213,0.992912892,0.373256613
0.832672775,0.359452241,0.219582484,0.50099441
0.013840854,0.317166287,0.542710816,0.42926384
0.218504131,0.143144491,0.169833832,0.134124612
0.32609719,0.155390599,0.658942253,0.495314292
0.198709428,0.389716046,0.527481403,0.598618373
0.378329456,0.988664355,0.876303065,0.95310166
0.737769306,0.327061421,0.658637341,0.522510538
0.469561279,0.972222507,0.669941322,0.934895897
0.561268747,0.726418819,0.52330489,0.800376235
0.538372695,0.763970983,0.245957391,0.922956644
0.030279577,0.460486831,0.805171082,0.627551412
0.693658054,0.182038336,0.875212205,0.614825797
0.955529869,0.966831179,0.312174483,0.378501248
0.471004426,0.355369916,0.479147828,0.140578944
0.432789505,0.575675402,0.244855735,0.475914812
0.861124694,0.693378525,0.050807171,0.942145014
0.217391193,0.563367671,0.59561401,0.001820229
0.983364046,0.98908982,0.133393415,0.47928647
0.350904644,0.575843985,0.426927706,0.9107207
0.932452381,0.588842441,0.611319417,0.669299023
0.953917205,0.962718194,0.356744981,0.144281257
0.845772684,0.80433188,0.646270755,0.282823882
0.077705801,0.56830068,0.861167504,0.31214659
0.19554919,0.7183955,0.860872905,0.932533061
0.558733404,0.066985745,0.956751068,0.454170025
0.077996671,0.441703677,0.642554907,0.965801672
0.738262117,0.981560162,0.430417047,0.267763391
0.888588369,0.091342175,0.002007012,0.227275522
0.760653198,0.471986324,0.167992755,0.949377136
0.897767961,0.07853819,0.292512513,0.944286345
0.960637748,0.694424012,0.273947446,0.311095631
0.084584892,0.85277187,0.670983928,0.076160908
0.751880825,0.505807087,0.507609068,0.940415192
0.590707004,0.31103286,0.028024418,0.691612218
0.988288343,0.659082991,0.17101054,0.179496389
0.830143869,0.549489111,0.37314229,0.167204687
0.266714275,0.733657752,0.204124432,0.845557157
0.419919431,0.936537187,0.966396791,0.63707428
0.801908195,0.460952492,0.919526389,0.69365475
0.46815294,0.349924766,0.533440926,0.848625604
0.230210245,0.356743977,0.474190121,0.203142816
0.941183746,0.867550571,0.217800144,0.067664312
0.307022989,0.298592224,0.196681616,0.343816469
0.478732765,0.414315595,0.808679429,0.403082334
0.614391506,0.964988077,0.860754002,0.963607826
0.81222862,0.967810601,0.343905457,0.250232802
0.167504728,0.360018212,0.460740725,0.762971265
0.748930156,0.267977545,0.975775744,0.590836094
0.812311113,0.215330133,0.384128383,0.680279795
0.461196363,0.991370897,0.41930804,0.182688023
0.164407909,0.320944841,0.478043871,0.747765556
0.830757797,0.532200209,0.238320641,0.965639765
0.989935577,0.475266494,0.459560072,0.914436668
0.799267948,0.598851883,0.567053294,0.808594021
0.414769113,0.886063224,0.833563252,0.570411826
0.843315065,0.219329486,0.151494852,0.313182347
0.562021434,0.840059324,0.068938951,0.695363728
0.053602874,0.944443593,0.586914996,0.262126358
0.503531396,0.428648682,0.767508447,0.77758921
0.055577695,0.047815299,0.491958204,0.563189324
0.131042659,0.459150596,0.8508987,0.078101514
0.032766283,0.908438747,0.968598182,0.35999045
0.766547143,0.252567102,0.573393388,0.305374866
0.350645006,0.118118708,0.947455796,0.457220881
0.980578363,0.275584152,0.907203507,0.884381406
0.503557146,0.810626711,0.521628613,0.165370419
0.658056915,0.991652549,0.826555023,0.529523857
0.368554056,0.753542292,0.947997799,0.773787461
0.049862564,0.174831712,0.796828757,0.552304942
0.226078212,0.841860436,0.923935975,0.471791677
0.626757085,0.017046347,0.497691924,0.812886371
0.216028631,0.746610085,0.804713836,0.389459641
0.572295845,0.640739604,0.684806864,0.25434998
0.085263908,0.162979978,0.636441359,0.72999331
0.538613975,0.529488064,0.629177571,0.524722657
0.173711717,0.08231927,0.698848812,0.229414728
0.252885282,0.952133199,0.488270163,0.154358676
0.095440805,0.408282689,0.180585508,0.273971903
0.239303529,0.825008054,0.712740114,0.010061407
0.164390266,0.476534008,0.956947581,0.626293189
0.008086145,0.565703397,0.796145015,0.409049413
0.010077655,0.708588541,0.32984318,0.354706994
0.982482851,0.936766381,0.58512439,0.119521543
0.049835384,0.074980784,0.998800086,0.606740137
0.481020153,0.506782846,0.739466961,0.534012439
0.476458967,0.883557971,0.811546549,0.224499543
0.503333747,0.84415572,0.033726545,0.276791023
0.045187891,0.927987848,0.883111531,0.308555822
0.410721481,0.234566242,0.458225805,0.018878087
0.308865011,0.208076429,0.242949525,0.364996434
0.601285875,0.546442098,0.271202207,0.852605893
0.352680147,0.402574841,0.186142992,0.511004229
0.827587545,0.646224591,0.312274361,0.248100913
0.71913141,0.289456679,0.793438536,0.860684798
0.849414766,0.120728367,0.529336123,0.384053923
0.584914863,0.278960838,0.717617725,0.062224093
0.47809571,0.574467489,0.856447038,0.733804093
0.906960428,0.793335563,0.24845022,0.842236833
0.387273252,0.224984912,0.46542139,0.819472076
0.093234956,0.714373472,0.521799953,0.118607558
0.363158882,0.581542807,0.771806518,0.18098512
0.062234104,0.165072236,0.295637048,0.244043973
0.945702016,0.185854626,0.046511717,0.999593246
0.222423255,0.818052229,0.652920784,0.209476266
0.603401124,0.488411383,0.58466937,0.38612634
0.970527828,0.368768889,0.620550559,0.423507229
0.762010515,0.22752065,0.774806094,0.467367028
0.215241373,0.833933374,0.841830229,0.000593143
0.011131465,0.939274188,0.482916821,0.548791918
0.697250783,0.362412635,0.089201074,0.153432873
0.026368797,0.291283588,0.038784918,0.373171055
0.020249069,0.038835977,0.050962722,0.266531543
0.001913249,0.8041788,0.902948221,0.250674748
0.3649382,0.724556093,0.689810139,0.317398509
0.997792423,0.537950652,0.791308012,0.681163342
0.753773153,0.394433219,0.39337438,0.805977539
0.492265403,0.327858847,0.226370012,0.701075709
0.747187793,0.510171059,0.519998768,0.833949142
0.808667839,0.081630794,0.948913354,0.69077979
0.219742954,0.142587455,0.162851355,0.179650668
0.530308187,0.945357673,0.949894425,0.702183868
0.230402172,0.00296748,0.023362001,0.362835078
0.401146591,0.087997973,0.416639635,0.454305695
0.219371736,0.646797784,0.822284525,0.526825091
0.562786281,0.778745893,0.451655358,0.074700185
0.78201431,0.500719752,0.542172272,0.017785956
0.030642927,0.351736501,0.505652992,0.580172434
0.339453638,0.629057941,0.918077731,0.024890693
0.602315605,0.001073619,0.095188126,0.875624698
0.918033302,0.526084142,0.58579719,0.823470176
0.434004247,0.893977435,0.111753114,0.253764883
0.051420867,0.980853859,0.487119479,0.735728198
0.780407608,0.425864738,0.260106737,0.688873777
0.752200305,0.2465113,0.054902629,0.157757238
0.441537797,0.858614623,0.765222991,0.251089574
0.114643991,0.170101438,0.603706916,0.091801107
0.260804117,0.861178337,0.34343897,0.984912754
0.861935079,0.4776239,0.101472913,0.213601459
0.50531286,0.186947436,0.198791614,0.295489515
0.210707843,0.24892911,0.552010952,0.902903122
0.632379949,0.40091549,0.365631757,0.951053232
0.815570533,0.102271266,0.687884036,0.4921279
0.887753427,0.746454396,0.696681259,0.531462062
0.098854005,0.77321053,0.037848323,0.721298085
0.512723148,0.241868201,0.078659052,0.895899309
0.592543066,0.283233657,0.380001117,0.812741218
0.797750413,0.546619555,0.646547292,0.548474828
0.934206426,0.236576986,0.872826326,0.638552916
0.954890668,0.592332547,0.714699958,0.411889659
0.718470275,0.760772223,0.73203798,0.939750485
0.755461156,0.878068527,0.433303913,0.49059016
0.47140497,0.574257369,0.1814438,0.125747279
0.955776393,0.835632489,0.868999835,0.123602312
0.25798744,0.602415519,0.282392247,0.752586023
0.769404113,0.277087861,0.197927832,0.300066004
0.704443395,0.426909111,0.609122374,0.242575168
0.043311536,0.14343722,0.817475959,0.47350232
0.184252441,0.143921079,0.929341532,0.944405909
0.433684766,0.149808159,0.512731054,0.098538918
0.317360103,0.863957677,0.990636129,0.723300828
0.907519996,0.53793544,0.592775506,0.690563647
0.753380954,0.673372786,0.486733085,0.668539196
0.657679975,0.563228968,0.209303353,0.611745563
0.483979404,0.203966057,0.50988825,0.426766495
0.319431961,0.569960535,0.210664045,0.672244153
0.94409436,0.302790138,0.634527685,0.323397308
0.945249975,0.194884223,0.028698214,0.188192911
0.276577652,0.196306631,0.821452475,0.159413527
0.663623273,0.508148352,0.471334689,0.412386092
0.963612974,0.536163239,0.069937504,0.146297417
0.609548986,0.767668341,0.370696975,0.887613716
0.318753183,0.218597925,0.583301188,0.677141843
0.565367639,0.196601034,0.601384004,0.649001174
0.834932745,0.366971174,0.989548385,0.050299868
0.986855209,0.481142387,0.428781358,0.04049375
0.907445848,0.803104817,0.188416646,0.17048686
0.599070489,0.549761905,0.269821362,0.832672706
0.351437747,0.060516004,0.518295101,0.570235508
0.500052631,0.829782379,0.681086526,0.252982586
0.778914392,0.974494332,0.080267917,0.198753205
0.077440441,0.151868331,0.272636382,0.49250141
0.696711481,0.979537679,0.794934617,0.025057412
0.351728618,0.93122125,0.444583901,0.14555732
0.025994003,0.444297378,0.088204364,0.796732263
0.9659006,0.587572687,0.399329228,0.889049161
0.83757323,0.165342866,0.692991318,0.542466935
0.676448524,0.179464949,0.486073772,0.135534243
0.391450584,0.628057133,0.28120949,0.829452709
0.826768339,0.454005247,0.454549635,0.923529035
0.16639179,0.81757185,0.842077756,0.612073612
0.917149723,0.836318732,0.142143612,0.421781193
