t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
99.53086447,99.54745781,99.83070224,99.93370954,100.2020683,99.56569347,99.45896668,99.43212422,99.9767574,100.1784046,99.91950314,100.100075,100.4626879,100.2623322,99.9804667
99.17879448,99.52898248,99.92346696,100.6081816,100.1462998,99.39711741,99.6900123,98.97944008,99.6448019,99.84388965,98.96920109,99.33421207,100.7633413,100.9771323,99.77524858
98.41176667,99.38953075,100.2248753,99.75810315,100.812125,99.26434519,99.78808875,98.72076593,100.0321611,99.18840429,99.50111639,99.81275984,100.6938818,100.4277959,99.48766151
99.20234524,98.9995586,99.9687019,100.3005636,100.9461902,99.94469022,99.78418715,97.79892414,99.97838156,99.96587588,99.45298869,99.74323622,99.90369898,101.2237138,99.57843379
98.70194725,98.73561135,100.7656542,100.089029,101.3039559,99.27705094,99.48309253,97.23606425,99.02667096,99.35739587,99.05367568,99.21766938,99.90560573,101.7774537,98.85434429
99.33823535,98.71107533,100.6113318,100.4967257,101.512883,98.57764589,98.7594041,97.5881886,99.0033493,99.9824034,99.25393896,98.38266714,100.4651946,101.801725,98.88250806
99.77991782,99.13104769,100.896554,100.5866414,102.0364209,98.39011911,98.7013265,98.24547816,99.53114076,99.35108876,99.40589315,99.52147013,99.69859513,102.4923736,98.26818975
99.6913784,99.36792396,101.1644811,100.5901866,101.4926674,98.65464505,98.61908279,99.38670723,99.77456459,99.09174098,100.1094375,99.77113645,98.91486007,101.735993,97.90721456
100.2220308,98.75225737,100.5666625,99.90598051,102.0256043,98.76925324,98.89189459,99.40566224,99.10878976,98.57049594,99.98651653,100.513877,99.28829033,102.3300001,98.24918222
100.7209685,98.13818011,100.6838195,100.6685986,101.405956,99.21035557,99.23178097,98.98166404,99.20921002,97.9271626,100.1254409,99.8534468,99.55587272,101.5325643,98.78686087
100.4108802,98.13470847,100.5635134,101.0929527,102.2829398,100.3214945,99.18172678,97.89429864,99.11505522,98.34716266,100.1691393,99.82290103,99.98345267,101.7651448,99.48695015
100.6781332,98.28251729,100.9058869,100.6545116,102.9171748,100.0274335,99.2678718,97.1636912,99.25956016,98.31075782,100.2807897,99.77855107,99.76537329,101.5130266,99.06464269
100.858744,98.65405394,101.5535309,99.46029229,102.694095,99.76536103,99.09860936,97.12315419,99.82809554,98.91411837,100.0238613,99.3826661,100.2238558,100.9971076,99.32652854
99.73709932,97.50055423,100.9278509,99.24824319,102.2443031,99.08765534,99.60797927,96.8616352,100.7752016,98.41833859,100.640252,100.083688,99.97812352,102.017875,99.4895244
99.79197384,97.05272657,101.0326533,100.189398,102.142818,99.65664855,98.93108765,96.72336649,100.9623348,97.86582439,100.9128974,100.4588629,99.726913,101.7008271,99.9276973
99.36886968,97.07344541,100.7228448,100.4913279,102.7463541,99.51964783,98.86272463,96.55384298,100.43275,98.26590949,101.4590845,100.659164,99.50282276,101.5854858,98.92947947
100.3818708,97.92797394,101.17941,100.9864211,103.057429,99.34177743,98.50418694,96.93011611,99.3219212,98.83303516,101.1737487,101.1101807,99.57587149,101.2563369,98.66186276
100.9113569,98.3380755,100.1913882,101.7484226,102.9395687,99.4247367,98.03362422,97.31965517,99.08514246,97.63482731,100.8663105,101.9691391,100.1308364,101.2569281,99.40689576
101.4278318,97.86487542,99.54230878,102.4157266,102.2944884,98.40186717,98.0165711,98.13086449,99.31388669,98.63144304,100.6925221,101.7117981,100.0978236,101.5256841,100.7142713
101.2858648,97.64861447,99.82593639,102.5022055,102.7618007,99.34948177,97.91370506,98.12714269,99.45464094,98.78771236,100.7631283,101.296824,99.77942653,102.6005621,100.9112583
101.5191282,97.16551931,99.20316414,103.5390836,102.5537324,99.48107312,98.30857574,97.43116726,99.64958329,98.71295608,100.8807255,101.9699128,99.15159735,102.1067754,100.5267037
101.2270429,98.27776724,99.92116359,103.2417268,102.357582,99.80924667,98.43303193,97.88305301,99.31362272,98.06373695,101.3324274,102.4131826,98.69321819,102.8772244,100.985021
101.2058282,98.17691332,100.2869595,103.6156518,102.7635317,99.50654547,98.86749339,97.49054957,99.76464432,97.90710679,101.72477,102.515026,99.3885531,102.3823683,102.7400493
102.4245864,98.48930444,100.7075093,103.6324135,102.3221207,98.80079724,99.14496802,98.17559618,99.33224858,98.37124797,102.2526812,102.6414998,99.64073626,102.4458835,102.8602835
103.0885243,98.27559744,100.622199,103.7301191,103.1565362,99.00664295,99.5651203,98.69408209,98.71361959,98.33546087,102.4322295,102.4046908,100.8388901,102.9411189,102.5849973
102.4395036,99.07964652,101.8753759,102.6743163,102.7799871,99.17682663,99.89621299,98.72770739,99.31221675,98.57398802,102.6093621,102.869312,101.0150248,103.3801658,102.5371523
101.9602746,98.26352365,101.0814454,102.0953873,101.830714,98.57472304,100.2607165,98.52963442,98.95407272,98.84285937,102.6580595,102.3392241,100.7584175,103.8012563,101.4126332
101.9615387,98.32976149,100.7618545,102.3926,102.2323698,98.72997797,100.4305067,98.43149963,98.71291287,98.65722401,102.6507365,102.429943,100.6351358,104.5321587,100.5416338
101.8369247,98.2823864,101.9751643,101.0568498,103.5003798,98.61739455,100.4194623,97.83732149,98.57734352,98.11770187,103.3390871,102.2508126,101.2499371,105.0232328,101.2078477
102.1063424,97.83241202,100.8329929,101.5101414,102.3636077,97.972018,100.0127568,97.54588323,98.30799478,98.11876081,103.2568864,102.4788356,100.7628673,104.5123863,101.3279691
102.1519112,97.69607959,100.4508361,101.7309167,102.2894299,97.85817755,99.57572153,97.19538078,97.80335849,97.93966286,104.8095906,102.1423884,99.98671169,103.9732311,100.8481039
102.6039172,97.21818861,100.5040534,101.3470324,102.1216499,97.16541328,100.0215092,97.15676883,97.24293496,98.91524589,104.9597308,101.7749734,100.4996356,104.53576,100.6442034
103.0100757,97.37257558,99.79783595,101.4414758,101.9636885,97.84682332,100.7471269,97.37144112,97.36821309,99.17183497,105.7249658,101.8648468,99.98205799,104.441419,99.87200923
103.552898,97.1059279,99.7494623,101.0177769,102.0728589,96.92450344,100.9711124,97.54202783,98.14516727,99.19369356,105.5438109,101.8624223,100.5300551,104.1480179,100.62297
103.5266231,97.91162974,99.9584378,100.5874098,102.5819132,96.1556939,100.0531259,98.46940291,97.67480684,99.39704155,104.9194056,102.3170399,100.2071587,104.7147658,101.1778667
103.742338,98.14592181,100.1590325,101.0405409,103.1903156,96.55883464,100.6262584,97.98028957,98.16136256,99.12331579,105.4362372,102.5967529,99.63668988,104.6699699,100.2407701
103.099892,97.39232006,100.3085471,100.9654646,103.0051739,95.98601101,99.31664178,98.03775,98.01841143,99.06095829,105.8114259,102.5112235,100.2275192,103.8635917,100.5908572
103.7576856,97.13848407,100.3618383,100.8182627,102.7549143,96.35497811,99.84795912,97.6847528,97.29806548,99.29183407,104.897682,102.3915028,101.0864981,103.8947111,100.9140453
103.403345,96.30540427,100.1480361,101.0649322,103.0052327,96.39434216,100.835172,97.96304591,97.56457934,98.87702005,105.5707186,102.0920889,101.4060976,103.4065502,101.5118071
103.8012225,96.88476591,100.9015719,100.806935,103.9823736,96.07957743,101.5224383,97.25408133,97.73760944,98.61454682,105.3680507,101.9473284,101.5100141,103.3827243,101.4411554
104.363861,98.47143,101.4845282,100.0629564,103.7539312,96.12260561,101.6934597,98.06751756,98.18272063,99.06400553,105.2967979,102.0376228,101.3011722,103.8493927,101.8902802
104.8443025,97.8084596,101.3347538,100.0469911,103.6662091,96.4451716,101.6333773,97.33857348,98.57887165,98.18462141,105.2745483,102.352873,100.929917,104.9031261,101.5159992
105.8319336,97.80085994,101.2414214,99.72350868,103.9543346,95.89570728,101.6938362,97.61445851,98.23797671,98.37128903,104.7595471,102.6539579,101.4615138,104.2020399,101.3459361
106.5548001,97.50388051,101.8471605,99.20973372,104.3941742,96.07428085,102.3238424,96.57623708,98.48205316,98.30634897,104.60316,103.5331217,101.9498021,105.1896289,101.4058309
106.8322166,96.52433555,101.4745882,99.29964254,104.0176369,95.68210777,102.7140769,95.80259513,98.25949939,98.7373618,105.7023732,104.4831976,101.1310174,105.2115098,102.4883076
107.0089852,95.66869893,101.6545808,98.28852871,104.6045566,95.32173366,103.6183119,95.87475059,97.78370304,97.81518574,106.0070225,104.1824086,101.0642783,104.7866061,102.6366802
107.3632497,95.45079743,101.3007906,99.06729055,104.245671,95.31341234,104.1388188,96.23427334,98.12457071,98.06077158,106.1675297,106.1363825,100.737689,105.5937583,103.1613112
108.208946,95.32524419,101.4758999,99.65302023,105.3959364,95.41095989,103.5928591,95.1221479,97.81846918,97.74245309,106.2060581,106.3987533,101.1545056,105.9460509,104.1484678
107.7404882,94.80966396,102.2861267,99.99866676,105.6685301,95.37070602,104.0156136,95.43719962,98.19905024,97.62862744,106.2659619,106.6118612,100.7575527,106.1387429,104.6853161
107.346995,94.62430704,102.3143885,100.4699331,105.8359036,95.52883638,103.6986371,95.7127212,98.78993379,97.79552941,105.9728173,106.2603633,101.332192,105.1259587,104.9151715
106.9609803,95.11095445,103.1171617,100.7784646,104.8802868,94.76197387,104.5380571,95.44550184,99.01873733,97.40266708,105.985257,106.1600379,100.6749979,104.9511386,104.6532347
107.9523612,94.76407053,103.2802409,100.2577022,104.5109683,94.4523639,104.7954585,95.21982433,99.06519266,97.25884176,106.2432359,106.6225936,100.5063257,105.4140951,104.6834876
108.9734947,95.74356798,102.6949902,99.77329355,104.1204896,94.72641469,104.3770168,93.97622881,98.41887122,98.13828974,105.8479188,106.724905,100.3606751,104.8950514,105.2223328
108.8609395,95.20126987,102.6899905,98.67863718,103.7560627,94.68509269,103.4914623,93.71450342,98.64663812,98.57025144,105.2126316,107.590038,101.0793328,104.6439438,105.314947
109.3382918,95.25312742,102.0914724,98.1634893,104.3607068,95.54014467,103.3232376,93.7977732,98.37587372,99.47447381,104.4148522,108.6241492,101.6906219,104.870072,105.2350855
109.6156691,95.85548942,102.5196747,98.35684577,104.2318027,95.7373897,104.2481843,93.67488382,98.66012019,99.2144628,104.580347,109.1206843,101.6601526,104.2393939,104.7541623
109.6608243,96.70268974,101.5310444,98.21912017,104.1566508,95.66105535,104.8712238,93.58327963,98.98461486,99.31724234,104.2648677,108.7714753,102.0195515,104.7374594,104.7185973
109.8450322,97.07867018,101.8223788,98.73685417,103.7535765,95.5794304,104.3027774,93.63294045,98.31893066,98.96164004,104.0332539,108.9040063,103.0799102,104.6031119,104.4021575
110.0693638,97.54586373,102.0801848,98.94578043,104.5998304,96.75300835,104.188426,93.64009261,97.98729977,98.76297507,103.5443701,108.8063149,102.4896763,104.4488415,103.9675817
109.3270192,98.19449968,101.5045325,98.57170749,105.3281902,96.22484117,104.8277075,93.62152594,98.57520111,98.69495059,103.618648,108.676334,102.597365,104.2708859,103.6573701
109.1955819,98.10521658,101.5030471,99.06383412,105.509937,95.64735256,104.499046,94.2836724,98.94459008,98.23586244,102.8996261,109.3246425,102.3869939,104.4875896,102.2211681
109.6193924,98.40690417,101.3423702,98.69463381,105.2121891,94.90403446,103.7459187,94.20652729,97.97548259,99.13216205,103.5617129,109.3146146,102.4256827,104.1760349,101.8474055
108.8651661,97.9469291,101.3814557,98.45489554,105.7531819,95.10062853,103.2212258,94.42098835,98.33017904,99.56529225,102.8185066,109.352624,102.7339355,103.8901076,101.7034506
109.7355981,98.20870219,102.0074322,98.3922689,105.6123834,95.1926341,103.1176212,94.39595286,98.34226728,99.24781283,102.7410112,108.6072665,102.0146432,103.836354,102.1434882
