Date,COST,HD,JNJ,XOM,V,LLY,UNH,JPM,AVGO,TSLA,META,GOOGL,NVDA,AMZN,MSFT,AAPL
43461,0.003798372,-0.001159971,-0.001261552,-0.011545125,-0.008675447,0.010246327,0.000500205,-0.002605457,0.009661247,0.052608212,-0.010634529,-0.006712876,0.016571012,0.010554339,-0.008883111,-0.000763234
43462,0.007267343,0.008783101,0.013727081,-1.96912E-05,0.007071045,0.011931158,0.011031094,0.007686471,0.001514892,-0.005199905,-0.016741004,-0.002432488,-0.003282084,0.01548433,0.010641032,0.008343423
43465,0.004176647,0.002855293,-0.010286798,0.021445817,0.006863113,-0.00857647,-0.023455698,0.016724764,-0.00423512,-0.072572276,0.033641693,0.008470932,0.018010569,0.023849741,-0.005484849,-0.000135014
43467,-0.022387825,-0.022859656,-0.016180087,-0.015785874,-0.037239042,-0.032860056,-0.028245744,-0.02284095,-0.094361037,-0.033967513,-0.030242147,-0.028874262,-0.0644783,-0.026155447,-0.038526322,-0.106199812
43468,0.027660967,0.028707979,0.016481974,0.03589318,0.041641959,0.028361119,0.011030356,0.035763077,0.008578156,0.054104361,0.04528761,0.049233517,0.059939715,0.048261194,0.044415479,0.040527787
43469,0.002713788,0.018934049,-0.006597511,0.004873645,0.017334527,0.004101621,0.001320991,0.000255896,0.018959194,0.050945155,-4.86667E-05,-0.002784141,0.049427694,0.033186585,0.00022996,-0.003503783
43472,0.0064956,0.004217087,0.022798847,0.006931354,0.004887051,0.007861901,0.012685005,-0.002326535,-0.009260571,-0.000826292,0.031163189,0.007956969,-0.027369652,0.015885958,0.006179933,0.017608245
43473,0.005487921,0.009717693,-0.008119276,0.004947852,0.011163271,0.006159225,0.000840699,-0.002130841,0.041138343,0.007447975,0.011083375,-0.004221172,0.017316668,0.001122973,0.013153685,0.015563698
43474,0.00255487,-0.004307401,0.005869598,-0.005435204,0.001339646,-0.012185416,0.004438811,-5.39E-04,0.01186764,0.016854795,-0.000981364,-0.003398359,0.01625624,-0.002520217,-0.007490943,0.001915638
43475,-0.001581818,0.001380145,0.000146201,-0.004903792,-0.004945663,0.000776819,0.010772866,-0.005231836,0.00299691,0.004626447,-0.003551086,-0.014188018,0.022326871,-0.010090136,-0.008796521,-0.011141994
43476,-0.008163324,-0.003922566,-0.011556233,-0.001568815,-0.007514754,-0.014286132,0.000976533,0.009817414,-5.84577E-06,-0.03972586,0.010222966,-0.013037642,0.008600466,-0.014925164,-0.008367057,-0.016426707
43479,0.008701605,-0.013745515,0.008221778,0.000245192,0.001211918,0.019506135,0.034302553,0.00686526,0.02095243,0.027563078,0.023417531,0.031955634,-0.005955314,0.034258081,0.027548091,0.018984635
43480,-0.005000468,0.002652127,-0.010418641,-0.00073175,-0.000537026,-0.0037708,0.017114269,0.007593106,-0.0200541,0.002702464,-0.010284729,0.001969429,-0.009055527,0.004900971,0.002472641,0.01086713
43481,0.005107173,-0.012905477,0.008005066,0.006503351,-0.000973972,0.018713005,-0.007081596,0.003650103,0.013116592,0.001644503,0.004364643,0.007993997,0.017005661,0.005000853,0.005953128,0.004644741
43482,0.00905794,0.026005357,0.012156239,0.011539322,0.008310671,-0.023094749,0.021221355,0.015656873,0.020071355,-0.140920052,0.010891261,0.006626914,0.031603899,0.001168432,0.013827271,0.004865077
43483,-0.006551452,-0.014422421,-0.014729363,-0.01549835,-0.003791392,0.002988303,0.000118478,-0.016340659,-0.010949874,-0.013101595,-0.01737254,-0.027020821,-0.055557458,-0.03906996,-0.020071354,-0.023977346
43487,-0.002425009,-0.001815582,-0.000162078,-0.008553881,-0.008099107,0.013123341,0.004396394,-0.002968024,-0.004188027,-0.04062999,-0.023181548,0.004556516,0.001329974,0.004208109,0.008654612,0.002760719
43488,-0.009392513,0.001686073,-0.013999644,0.001088437,0.004486479,-0.033803146,-0.003935495,0.000145084,0.021943361,0.011548505,0.009773739,-0.001166021,0.053531988,0.008460341,-0.005835378,-0.009233257
43489,-0.006877908,0.016817171,0.009240146,0.004158674,0.006482585,-0.001464977,0.006591652,0.005867664,0.015317673,0.016802634,0.020798463,0.01523618,0.012369811,0.008816312,0.008047667,0.031324223
43490,0.007133911,-0.003737236,0.005747347,-0.007028323,-0.020052631,-0.000769338,-0.005383567,0.004289056,-0.002397389,-0.004214379,-0.01116196,-0.020638427,-0.150943888,-0.020346003,-0.020738949,-0.010573058
43493,-0.003149329,-0.001351449,0.010172712,0.003469807,-0.007843638,0.004603037,0.001537515,0.002348737,-0.006071778,0.001647414,-0.023266232,-0.009904583,-0.049718217,-0.027827467,-0.021620263,-0.011694304
43494,0.00396849,0.013189383,0.009839128,0.010535402,0.018539165,0.009282888,0.010673227,0.001862268,0.015553448,0.035326967,0.041526132,0.024978724,0.040897338,0.046319861,0.031826654,0.064825608
43495,0.014435641,0.006810333,0.010717472,0.013288795,-0.019539182,0.023372344,-0.001225807,-0.009192948,-0.01073739,-0.00767372,0.101931096,0.024304662,0.043092904,0.027914657,-0.019545164,0.005899973
43496,-0.021487642,0.003993812,0.008218658,0.03507933,0.036827396,0.00726557,-0.006089425,0.003225679,-0.006584946,0.014773165,-0.006669845,-0.00726588,0.004635051,-0.055911115,-0.016970812,-0.000794918
43497,0.003353937,0.010538582,-0.010046777,-0.01490799,0.009049456,-0.007264703,-0.002496631,0.003116437,0.018503988,0.000185752,0.020364249,0.019389437,0.028124488,0.003754207,0.027347867,0.026733575
43500,0.001069703,-0.000787182,-0.000162078,0.009925626,0.006715754,0.000870221,-0.00770609,-0.00486129,-0.00902352,0.024689201,0.010448555,0.008325726,0.002989123,0.014901938,0.012854983,0.015689268
43501,-1.01E-03,-0.00957271,0.000740547,-0.004688226,-0.007860444,-0.010969926,0.01131045,-0.000920953,0.021537102,-0.014925156,-0.00469549,-0.026268801,0.017976864,-0.01183561,-0.012205337,-0.000930975
43502,-0.013088698,-0.004097645,-0.007330545,-0.008049584,-0.009910147,-0.016242532,-0.002453915,-0.013635464,-0.027317884,-0.033077848,-0.025175662,-0.016025039,-0.039311445,-0.016499925,-0.008238207,-0.020396497
43503,-0.00720248,0.001977413,0.002484859,-0.009730583,0.000960084,0.016423431,-0.027345555,-0.010451872,0.01709882,-0.007566295,0.004920216,-0.003984965,0.002915428,-0.016920755,0.002747969,-0.004380776
43504,0.00369377,-0.009389949,-0.003187754,0.001307587,0.002450372,-0.014674501,-0.018938891,-0.00518595,0.004836456,0.020770683,-0.010019385,-0.001023745,-0.013835396,0.001158935,-0.005027132,-0.007042963
43507,0.014156349,0.013541194,0.016069147,0.017078705,0.007879177,0.011172226,0.023835722,0.016467185,0.012020495,-0.005287847,-0.005307407,0.022050335,0.029561806,0.028529345,0.014417193,0.007304804
43508,0.003273893,0.014885113,0.001997135,0.010897023,0.009971687,4.71016E-05,0.000540923,0.004325375,0.005681775,-0.013732399,-0.006667966,0.000142847,0.009089116,0.000624266,-0.001793316,-0.005438877
43509,0.00391084,-0.004294838,-0.001203892,-5.08702E-05,-0.002839493,0.007860401,0.005186186,-0.006959434,-0.000562741,-0.01637066,-0.001505072,-0.000282954,0.008575747,-0.011225549,-0.000202293,0.002361195
43510,0.011259479,0.024053668,0.01513252,0.018391209,0.011612948,0.012934423,0.02102724,0.02966375,0.000323989,0.011449328,-0.009656831,-0.009299008,0.015861612,-0.009690474,0.011227772,-0.003502782
43511,0.006628931,-0.000884533,-0.005234335,0.006356217,-0.003785703,-0.004152809,-0.003255993,-0.003950701,-0.002160456,-0.009292124,-0.002066535,0.005338238,-0.006618044,0.011544239,-0.001506749,0.001712635
43515,-0.005605647,-0.003071442,0.004690188,0.00351437,0.001468674,0.003039246,-0.003930712,0.004398066,0.005026906,-0.012118152,0.000888989,-0.006056907,0.009960668,-0.003962503,-0.010518898,0.005139355
43516,-0.009661379,-0.000729012,-0.007006186,-0.009395328,-0.005593636,-0.000802047,-0.01220352,-0.002522804,-0.009991164,-0.040156288,-0.01639676,-0.015513049,-0.019848619,-0.002231155,0.019827996,-0.006929987
43517,0.00394842,0.002394455,0.008513868,0.007367413,0.012365454,0.00908516,0.002064682,-0.004905278,-0.017132662,0.009888556,0.010719998,0.010334519,0.019558717,0.006866317,0.01311298,0.009828364
43518,0.002543246,-0.013178407,-0.003094697,0.000706562,0.000764677,-0.002178559,-0.010038132,0.009982611,0.00636391,0.011692258,0.015949323,-9.84475E-05,-0.005305023,0.000292267,0.004526908,0.005982617
43521,0.001612277,-0.009454964,-0.00082306,0.001723102,0.006150103,0.004985103,-0.006738153,-0.008102635,-0.014208337,-0.005040419,-0.003754278,0.003391892,-0.012229222,0.001489947,0.005832014,-0.000701644
43522,0.001055492,-0.025468426,-0.001926958,0.009931696,0.000686436,0.006777704,-0.050894055,-0.001674485,-0.01404818,0.053133521,-0.008848311,-3.81053E-06,-0.012974964,0.00227199,-0.002737044,0.001817307
43523,0.002194983,0.007398999,0.005489135,-0.005865181,0.005557623,0.003550804,-0.03253137,-0.008075634,0.012951657,0.014209012,-0.009161734,0.002466247,-0.009586526,-0.001357951,-0.002293469,-0.011160049
43524,0.002230581,-0.000410612,0.012274949,0.011886029,0.008535962,0.018699376,0.01549777,0.000231455,-0.010726005,-0.083672638,0.004354406,0.018526428,0.011937801,0.01867653,0.003408567,0.00918085
43525,-0.005669249,-0.00794434,0.000777054,0.003554396,-0.010690722,-0.012059771,-0.042621422,-0.002739882,0.006613095,-0.034501596,0.03011032,0.003469456,-5.20745E-05,0.013923827,-0.00344681,0.003741418
43528,0.005470571,0.00046052,0.001929955,-0.001808369,-6.05E-04,0.006757477,0.022066079,-0.001207199,0.006480219,-0.033385944,0.022202592,0.012791861,-0.003818905,-0.002797371,-0.006045541,-0.003096892
43529,-0.003652115,0.001870017,0.002141184,-0.011726057,-0.001483733,-0.015477958,-0.010420026,-0.004192138,-0.021846472,-0.00307541,0.006498988,-0.00442943,-0.031133561,-0.014560554,-0.000597039,-0.007046053
43530,-0.01215672,-0.011146102,-0.006291914,0.010725719,-0.007189209,-0.003978628,-0.010559826,-0.007696343,-0.022959332,-0.000723739,-0.020560845,-0.012956682,-0.020678895,-0.026692359,-0.013289286,-0.012917591
43531,0.048662321,-0.007610651,-0.00146506,-0.014763326,0.002998255,0.00155435,0.001892584,-5.06687E-05,-0.006186346,0.024940912,0.002001731,-0.001552791,0.00704398,-0.003762328,4.18993E-05,0.001098559
43532,0.007210266,0.006081809,0.003452994,0.009385291,0.021744226,-0.026871968,0.023798616,0.012485458,0.017063495,0.021591307,0.013685305,0.024363404,0.065221489,0.029685002,0.019731653,0.032780239
43535,0.013171771,0.007941762,0.004302501,0.00244071,0.006473572,-0.00129106,0.010568216,-0.00341423,0.00091392,-0.028320074,-0.001645519,0.014352239,0.006368364,0.000893468,0.005932702,0.00989729
43536,0.013609464,-0.016238183,0.001489173,0.008522745,0.004328237,0.005246214,0.024980123,0.00291936,0.004640376,0.017580146,0.007625421,0.000722792,0.034687364,0.009939565,0.006670656,0.003136906
43537,-0.011768039,0.002018696,-0.010182707,-0.003663972,0.010745554,-0.011234923,0.003438566,0.008620234,-0.012362732,0.001464796,-0.019403433,-0.00624868,-0.020473175,-0.003308289,-0.00025891,0.009779757
43538,-0.001991269,0.002835434,-0.00320974,-0.003924777,0.007601041,0.005671967,-0.008007761,0.010982145,0.077945087,-0.05339942,-0.025703999,-0.002659589,0.02318732,0.014793265,0.010408964,0.011648883
43539,0.01175395,0.005936358,-0.003292029,0.011223351,-0.003758471,0.009143227,0.013621369,0.005549527,0.010952582,-0.023792162,-0.034533608,-0.002259113,-0.007236531,0.016657548,0.013175245,0.0088813
43542,0.000977992,0.00329083,0.009053937,-0.002906473,-0.002927665,0.009430546,0.007721364,-0.004084091,0.017242079,-0.009513825,0.006058165,0.010847501,0.037072986,0.0106545,-0.000364362,-0.009231733
43543,-0.001259811,0.010069506,-0.008503685,0.005235934,-0.005985544,0.011034968,-0.026719796,-0.022018609,-0.02925582,0.020669861,0.022896727,0.018950155,-0.009642668,0.019314576,-0.002150219,0.007425146
43544,0.009780214,0.020009341,0.0057206,0.005449919,0.01270822,-0.000121379,0.005452641,-0.016351394,0.018429768,-0.000456022,0.003087661,0.007090158,0.051098995,0.01157099,0.021670307,0.034892828
43545,-0.009264616,-0.007015415,-0.008816377,-0.016459346,-0.0182148,-1.37E-03,-0.020352743,-0.031137829,-0.015283488,-0.037236439,-0.011305532,-0.024097057,-0.037798209,-0.03099931,-0.027766779,-0.022201231
43546,-0.003451102,0.004342384,-0.002355725,-0.007295725,-0.000798431,0.010871557,-0.001528152,-0.008793858,-0.002878076,-0.017648773,0.011022434,-0.009328367,-0.023339657,0.004773074,0.004153331,-0.013440223
43549,0.007858428,-0.002366718,0.014083427,0.012615993,0.014187749,0.007525042,-0.014753191,0.00951825,0.015329177,0.025842757,0.007550801,-0.007104823,0.015465666,0.004750218,0.001077919,-0.011660935
43550,0.000456713,-0.00104806,0.000775564,-0.008000705,-0.007515615,-0.018613175,-0.007523306,-0.003847551,-0.004777391,0.024034406,-0.011626389,-0.010780134,-0.004253279,-0.010766205,-0.010760086,0.007678439
43551,0.006567362,0.003698276,0.001134903,0.004653421,0.002376615,0.000105751,0.001552078,0.010844662,0.00921723,0.011706152,-0.002704385,-0.005672432,0.00208111,0.003772683,0.00032471,5.01363E-05
43552,0.002842241,0.009009852,0.006368881,0.000429821,0.0092424,0.004970783,0.019955819,0.00471103,0.00426628,0.002450663,0.006089182,0.003145496,0.010789047,0.003534816,0.007555979,0.005220967
43553,0.00746611,0.018781312,-0.005973315,0.011131075,0.006290201,-0.006777662,-0.00757746,0.032691627,0.015549954,0.030769956,0.011212812,0.017807965,0.012875396,0.018014597,0.00807089,0.00549289
