Date,COST,HD,JNJ,XOM,V,LLY,UNH,JPM,AVGO,TSLA,META,GOOGL,NVDA,AMZN,MSFT,AAPL,,
12/27/2018,201.080002,170.320007,127.410004,68.940002,132.009995,112.889999,245.970001,97.040001,250.850006,21.075333,134.520004,52.645,32.7925,73.082001,101.18,39.037498,,
12/28/2018,202.039993,170.220001,127.269997,68.169998,130.940002,114.199997,246.240005,96.830002,253.589996,22.257999,133.199997,52.334,33.412498,73.901001,100.389999,39.057499,,
12/31/2018,203.710007,171.820007,129.050003,68.190002,131.940002,115.720001,249.119995,97.620003,254.279999,22.186666,131.089996,52.248001,33.375,75.098503,101.57,39.435001,,
1/2/2019,204.759995,172.410004,127.75,69.690002,132.919998,114.879997,243.490005,99.309998,253.509995,20.674667,135.679993,52.734001,34.055,76.956497,101.120003,39.48,,
1/3/2019,200.419998,168.610001,125.720001,68.620003,128.130005,111.309998,236.850006,97.110001,230.960007,20.024,131.740005,51.273499,31.997499,75.014,97.400002,35.547501,,
1/4/2019,206.240005,173.619995,127.830002,71.150002,133.649994,114.660004,239.619995,100.690002,233.229996,21.179333,137.949997,53.9035,34.047501,78.769501,101.93,37.064999,,
1/7/2019,207,177.039993,127.010002,71.519997,136.059998,115.279999,240.080002,100.760002,237.979996,22.330667,138.050003,53.796001,35.849998,81.475502,102.059998,36.982498,,
1/8/2019,208.550003,177.889999,129.960007,72.040001,136.800003,116.339996,243.289993,100.57,236.070007,22.356667,142.529999,54.268501,34.9575,82.829002,102.800003,37.6875,,
1/9/2019,209.899994,179.729996,128.929993,72.419998,138.410004,117.209999,243.639999,100.400002,246.279999,22.568666,144.229996,54.0825,35.645,82.971001,104.269997,38.327499,,
1/10/2019,210.639999,179.059998,129.710007,72.050003,138.669998,115.940002,244.869995,100.389999,249.520004,22.997999,144.199997,53.941502,36.307499,82.810997,103.599998,38.450001,,
1/11/2019,210.509995,179.410004,129.75,71.720001,138.059998,116.18,247.669998,99.910004,250.570007,23.150667,143.800003,53.223499,37.2075,82.028,102.800003,38.072498,,
1/14/2019,209,178.809998,128.279999,71.629997,137.100006,114.68,248.059998,100.940002,250.869995,22.293333,145.389999,52.5755,37.610001,80.860497,102.050003,37.5,,
1/15/2019,211.029999,176.470001,129.360001,71.669998,137.339996,117.089996,256.869995,101.68,256.48999,22.962,148.949997,54.3255,37.467499,83.727997,105.010002,38.267502,,
1/16/2019,210.179993,177.039993,128.039993,71.639999,137.339996,116.800003,261.459991,102.5,251.699997,23.07,147.539993,54.475498,37.209999,84.189003,105.379997,38.735001,,
1/17/2019,211.460007,174.869995,129.089996,72.129997,137.279999,119.160004,259.769989,102.919998,255.330002,23.153999,148.300003,54.956001,37.93,84.661003,106.120003,38.965,,
1/18/2019,213.589996,179.580002,130.690002,72.989998,138.5,116.589996,265.5,104.589996,260.820007,20.150667,150.039993,55.365002,39.232498,84.809998,107.709999,39.205002,,
1/22/2019,212.399994,177.110001,128.800003,71.889999,138.050003,117.089996,265.690002,102.940002,258.290009,19.927999,147.570007,53.931499,37.192501,81.608498,105.68,38.325001,,
1/23/2019,212.089996,176.889999,128.800003,71.300003,137.009995,118.790001,267.019989,102.68,257.519989,19.172667,144.300003,54.220501,37.322498,82.000999,106.709999,38.48,,
1/24/2019,210.309998,177.289993,127.029999,71.400002,137.699997,114.989998,266.130005,102.739998,263.549988,19.434,145.830002,54.200001,39.459999,82.746498,106.199997,38.174999,,
1/25/2019,209.070007,180.399994,128.229996,71.720001,138.669998,114.970001,268.049988,103.389999,267.940002,19.802668,149.009995,55.0755,40.037498,83.528503,107.169998,39.439999,,
1/28/2019,210.770004,179.830002,128.990005,71.239998,135.990005,115.029999,266.769989,103.879997,267.619995,19.758667,147.470001,53.993,34.502499,81.894501,105.080002,39.075001,,
