u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,u15
0.449812557,0.541347262,0.532348563,0.356544366,0.700212931,0.489327657,0.630411715,0.793298326,0.097222756,0.487125099,0.200276581,0.57556551,0.282578814,0.51329947,0.356335326
0.605021529,0.664509745,0.724291628,0.04737918,0.504785824,0.412600131,0.693197689,0.363858866,0.298180442,0.20465791,0.147570697,0.382679909,0.973520716,0.9075828,0.497536296
0.65599914,0.951376042,0.707442058,0.41222099,0.477435144,0.029221636,0.971712732,0.741671971,0.330901343,0.797687831,0.672613214,0.537539941,0.033343104,0.755295566,0.75767382
0.385304567,0.818869383,0.315120466,0.439996908,0.891515258,0.25359781,0.403759041,0.204319764,0.647773863,0.048784763,0.758310685,0.722967243,0.960527436,0.376418975,0.560930126
0.398637622,0.432682916,0.682132487,0.746507909,0.495453495,0.836357137,0.69424839,0.807900449,0.136671712,0.525919279,0.993274962,0.253924755,0.100202437,0.29347348,0.850783473
0.193087254,0.734972284,0.136664038,0.909648328,0.599229554,0.865267512,0.275616668,0.391569809,0.727126073,0.791128309,0.332536688,0.191635608,0.652943698,0.570584366,0.004658503
0.508398916,0.317438561,0.586760008,0.164620192,0.395412501,0.410378197,0.249560565,0.879701508,0.908687187,0.425686197,0.735358445,0.973439722,0.820882249,0.526988117,0.096984395
0.564410791,0.819006807,0.549962781,0.68964378,0.638626987,0.900395941,0.563182229,0.135595476,0.808235653,0.412239947,0.87547301,0.831556856,0.803905428,0.884325229,0.215709961
0.93143625,0.99152096,0.311164764,0.265044269,0.584053337,0.798418261,0.23554974,0.143732102,0.756474558,0.860669405,0.940506107,0.014457838,0.278161632,0.760479056,0.749420704
0.878929361,0.035164015,0.093800726,0.5754406,0.087759175,0.098678218,0.672929017,0.289539697,0.205282952,0.936813327,0.112672999,0.650650416,0.4054977,0.422126992,0.027160666
0.076781381,0.498248699,0.440866492,0.73862443,0.306262731,0.789138066,0.483689772,0.810855467,0.555258023,0.50970101,0.337991691,0.076820807,0.052446749,0.646741712,0.565095983
0.027048243,0.086075348,0.340847528,0.677922352,0.85627331,0.787683699,0.580665813,0.394733417,0.356738245,0.714975197,0.043584266,0.902033768,0.862570136,0.102010262,0.698354072
0.835072133,0.92618756,0.949814035,0.974113996,0.27398255,0.374608972,0.417526505,0.24035788,0.582817312,0.71397605,0.345394842,0.209144465,0.753069982,0.708593051,0.110767686
0.681062581,0.415011738,0.379072118,0.146085776,0.854857422,0.526038781,0.372418367,0.310071667,0.601787491,0.776994507,0.306060432,0.397798195,0.039767049,0.779308502,0.450477892
0.748445616,0.247976905,0.143063857,0.75250863,0.07678206,0.546502075,0.042706638,0.688235883,0.042504906,0.004935553,0.378297688,0.49899945,0.488772813,0.225829894,0.530776092
0.817573336,0.097407785,0.001600741,0.404102673,0.467051753,0.028624631,0.939691738,0.254390073,0.847455349,0.793292558,0.47998498,0.818225348,0.778041248,0.957800251,0.498957826
0.775072686,0.530292737,0.689103516,0.806812578,0.852492961,0.27953024,0.822736563,0.381241914,0.771578028,0.991958229,0.664615508,0.558235279,0.151831793,0.612870035,0.780609196
0.304366629,0.429782655,0.943892422,0.388902843,0.81897464,0.717153624,0.946921425,0.030716938,0.214305812,0.831539358,0.095383802,0.030480337,0.995747345,0.077640535,0.368279215
0.82904034,0.57713506,0.102308445,0.01048394,0.797741246,0.233161984,0.832587772,0.787893583,0.135724957,0.838290059,0.033022001,0.746009128,0.196432164,0.387626959,0.85489499
0.314732444,0.477477892,0.576588103,0.019817259,0.213080475,0.583887875,0.396012979,0.6254266,0.690106371,0.253563087,0.414115222,0.963338613,0.072395231,0.187183197,0.554307079
0.888695935,0.76090522,0.175707277,0.277344695,0.917285876,0.282141781,0.173534849,0.525205306,0.084400747,0.726369937,0.453559228,0.089813706,0.14021071,0.185999637,0.357462041
0.913789758,0.34020298,0.292735466,0.364305997,0.4709094,0.987023581,0.995446037,0.703860314,0.604649527,0.343982328,0.489962792,0.041947814,0.608430536,0.128383013,0.443459126
0.075154367,0.806802172,0.456878996,0.517250117,0.343731893,0.891975848,0.773219216,0.174402845,0.721912966,0.652724901,0.159367279,0.546985766,0.941342478,0.476794671,0.64693195
0.579770239,0.626320496,0.510289385,0.307066212,0.863933483,0.11728807,0.105535346,0.031106283,0.991132125,0.145898134,0.832008183,0.350060694,0.863026196,0.808558587,0.372942199
0.325123338,0.801825269,0.396739314,0.756242927,0.08302357,0.860125872,0.617979488,0.767268257,0.842618314,0.366506646,0.080270022,0.493652832,0.702525889,0.16227052,0.91079071
0.038283416,0.217384504,0.157550914,0.399371054,0.34240569,0.630673206,0.87369649,0.38716347,0.848053962,0.523717132,0.467727785,0.035760585,0.916832645,0.990697015,0.319204172
0.969287104,0.112764429,0.537383135,0.691910095,0.738290689,0.751109328,0.097568573,0.304161543,0.832751421,0.691023057,0.715069709,0.118632478,0.044969121,0.023999642,0.208293932
0.441938403,0.114901873,0.165175594,0.467516147,0.555778756,0.202467011,0.961563532,0.743202037,0.331320352,0.066677324,0.672567879,0.402170553,0.456301092,0.541608558,0.248571646
0.360417818,0.559600929,0.223858461,0.090527335,0.559381088,0.538472079,0.911043905,0.197068341,0.501932617,0.903001258,0.278834085,0.076796151,0.85036233,0.069053891,0.836320379
0.799040257,0.1538595,0.059413724,0.473228368,0.097821902,0.98467195,0.301484615,0.77308122,0.669097308,0.509403339,0.089130489,0.648552449,0.082839409,0.946366826,0.280550332
0.517063197,0.796029657,0.977179452,0.027554643,0.67973141,0.300798959,0.961082732,0.798203434,0.913162466,0.31949209,0.908709663,0.711828586,0.954961319,0.795951854,0.932296092
0.786340524,0.19719525,0.002952603,0.767915064,0.347436674,0.020284299,0.845191531,0.4627521,0.701836789,0.531910779,0.972731202,0.896470501,0.893062435,0.647865951,0.154639199
0.100197728,0.387131011,0.365147778,0.875480591,0.472726193,0.295694782,0.601508391,0.753071695,0.430957715,0.344871562,0.404850815,0.555171351,0.560508811,0.679027804,0.969128436
