CANCER_CrudePrev,StateAbbr,PlaceName,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev
4.2,CA,Oakland,3243,20.8,19.7,12.5,28.3,69.6,9.5,5,65.3,69.8,54.4,5.7,24.3,21.6,17.8,52.7,12,34.8,2.5,28,73.7,13.7,25.5,74.6,13.9,40.3,3.1,14.9
3.2,CA,Oxnard,7533,40.8,16.7,15.6,27.2,62.9,9.7,5.3,54,63.3,42.3,5.8,18.8,15.9,19.7,43.2,12,35.2,2.7,34.4,69.5,17,31.9,73.6,18.2,34.9,2.7,20.3
5.6,CA,Tracy,4189,17.6,21,16.6,30.8,70.2,8.8,5.7,63.9,73.7,61.3,5.7,28.3,26.6,16.3,62.5,9.8,38.2,2.6,25.3,76.9,12.5,27.4,82,12.7,35.9,2.7,12.4
5.7,CA,Los Angeles,5446,17.4,19.4,16.4,27.5,70,7.8,5.6,66.8,74.5,59.4,5.2,24.2,27.1,14.3,64.5,10.2,40,2.6,22.1,77.3,11.4,22.4,80.1,12.2,36.1,2.6,9.4
2.8,CA,Riverside,5139,45.6,16.8,15.5,25,54.2,10.9,4.6,56.4,59.9,37.7,6.4,18,16.2,24.7,37.6,11.2,32.4,2.4,37.7,70,19.9,37.4,71.7,20.1,43.3,2.6,24.5
3.3,CA,Santa Barbara,4740,32.1,15.2,18.1,21.5,58.7,9.6,4.2,54.5,63,48.1,5.2,22.2,21.1,19.1,52.1,9,29.9,2.3,26.6,72.7,15.6,28.2,77.6,14.7,36.1,2.1,17
4.7,CA,Lancaster,1068,16,16.9,19.1,24.3,64.3,8.6,4.5,66.3,73.8,60.3,4.7,25.2,27.1,15.7,65.3,8.5,34.6,2.1,19.1,80.1,12.2,25.6,84.4,11.3,38.1,2.2,8.6
6.2,CA,Vallejo,3886,19,24.6,14,32.5,73.3,9.6,6.8,65.3,73,56.4,7.2,26.1,24.9,17.7,57.2,11.6,38.1,2.8,26.9,72.1,13.7,28.3,74.7,15,36.4,3.6,15.2
2.9,CA,Palmdale,2235,51.5,17.4,14.1,25.7,58.7,11.4,5.4,56.2,57.6,32.9,8,16.4,13.8,27.5,31.4,12.8,35.3,2.7,39.1,67,22.3,37.9,66.4,23.4,44.6,3.3,27
3.9,CA,Bakersfield,575,26.4,17.6,18.3,25.5,62.5,9.6,4.5,62.7,67.9,52.2,5.6,23.7,24.3,19.7,57.6,9.6,35.1,2.3,28.4,74.6,15.4,32.7,80.7,14.3,36.8,2.2,14.1
